name,paper_label,ebm_label,ebm_pval_winning,ebm_pval_losing,score
PGC02162,ne,SW,6.20E-02,9.59E-01,-1
PGC03512,ne,NE,4.54E-02,2.03E-01,1
PGC05673,nw,SW,6.01E-11,2.76E-03,0
PGC06855,ne,NE,7.67E-04,1.00E+00,1
PGC07826,se,W,9.60E-04,1.20E-03,-1
PGC08941,se,E,1.27E-01,4.19E-01,1
PGC14564,sw,E,6.07E-02,3.61E-01,-1
PGC15531,nw,W,2.37E-01,2.84E-01,1
PGC16274,sw,W,2.96E-02,9.62E-02,1
PGC19767,se,SW,1.74E-02,2.15E-02,0
PGC20938,se,NW,1.63E-02,1.00E+00,-1
PGC23333,nw,SE,2.94E-02,4.77E-01,-1
PGC23598,se,NW,1.60E-02,1.91E-01,-1
PGC23913,se,N,7.30E-02,9.60E-02,-1
PGC24788,ne,N,4.87E-02,7.06E-01,1
PGC26140,nw,NW,1.72E-14,1.00E+00,1
PGC26517,se,W,5.79E-02,8.51E-01,-1
PGC27792,sw,SW,1.71E-02,2.57E-01,1
PGC28310,e,N,5.02E-02,6.78E-01,0
PGC28401,nw,NE,8.98E-03,4.63E-02,0
PGC31159,sw,W,3.39E-03,2.26E-01,1
PGC32091,e,S,8.99E-06,1.60E-03,0
PGC32638,nw,SE,4.42E-01,5.75E-01,-1
PGC33465,n,N,4.41E-04,1.00E+00,1
PGC36925,sw,NW,3.29E-02,6.37E-02,0
PGC38268,nw,W,2.19E-03,5.28E-01,1
PGC38908,sw,W,1.43E-08,1.00E+00,1
PGC39728,s,S,5.75E-02,4.36E-01,1
PGC46767,ne,W,7.73E-04,1.00E+00,-1
PGC49906,w,E,1.00E-08,3.50E-02,-1
PGC55750,nw,W,1.37E-03,3.54E-01,1
PGC56010,ne,E,4.52E-06,1.35E-02,1
PGC57931,se,N,2.39E-01,4.85E-01,-1
PGC58410,nw,S,1.23E-02,8.10E-02,-1
PGC71106,e,E,1.91E-07,1.02E-01,1
PGC72144,se,SE,1.76E-01,1.84E-01,1
PGC72453,se,S,1.30E-02,1.43E-01,1
UGC10310,w,E,6.23E-08,3.48E-05,-1
UGC10796,sw,N,2.12E-03,3.66E-01,-1
UGC1081,se,N,6.75E-02,8.08E-01,-1
UGC10811,n,N,5.55E-15,8.65E-01,1
UGC1087,se,SW,6.49E-10,7.64E-04,0
UGC11262,se,SE,1.97E-01,2.76E-01,1
UGC11318,sw,S,2.67E-04,2.07E-01,1
UGC12224,nw,NW,3.35E-04,6.52E-01,1
UGC12274,ne,SW,5.82E-11,1.00E+00,-1
UGC12308,ne,NE,4.65E-06,1.00E+00,1
UGC12391,nw,E,2.57E-08,8.30E-02,-1
UGC12494,se,SE,2.08E-02,1.64E-01,1
UGC12816,ne,SW,5.45E-19,1.30E-18,-1
UGC12864,ne,N,9.86E-02,2.56E-01,1
UGC1529,ne,W,3.48E-10,3.62E-02,-1
UGC1635,sw,SW,3.56E-03,5.52E-03,1
UGC1862,se,W,1.78E-04,3.57E-02,-1
UGC1908,nw,SE,8.95E-04,1.59E-01,-1
UGC2885,se,W,1.31E-06,3.83E-02,-1
UGC3091,se,SE,7.21E-01,9.10E-01,1
UGC312,nw,E,6.88E-05,4.52E-01,-1
UGC3140,sw,NE,8.59E-03,4.95E-02,-1
UGC3253,nw,N,3.91E-03,6.49E-01,1
UGC3574,n,NE,4.01E-05,1.14E-03,1
UGC3691,nw,SE,1.94E-13,4.30E-11,-1
UGC3701,n,S,6.58E-09,3.31E-02,-1
UGC3740,se,NW,6.85E-30,4.02E-06,-1
UGC3809,sw,W,1.18E-20,1.05E-08,1
UGC3973,ne,E,5.06E-02,4.16E-01,1
UGC3995,nw,N,2.87E-65,3.20E-15,1
UGC3997,nw,SE,1.31E-01,8.06E-01,-1
UGC4036,se,W,9.26E-05,2.11E-02,-1
UGC4107,sw,SW,4.73E-03,1.00E+00,1
UGC4256,ne,SE,2.35E-02,1.00E+00,0
UGC4284,w,E,1.16E-02,4.28E-02,-1
UGC4368,sw,NE,2.34E-10,1.00E+00,-1
UGC4380,nw,NW,1.60E-02,1.91E-01,1
UGC4458,sw,NE,6.45E-17,1.00E+00,-1
UGC448,sw,NE,1.13E-03,6.74E-01,-1
UGC4499,sw,W,5.73E-20,2.06E-04,1
UGC4555,s,N,7.18E-03,1.00E+00,-1
UGC4622,ne,S,2.38E-03,1.63E-01,-1
UGC463,se,NW,2.04E-16,1.46E-06,-1
UGC4659,sw,SW,3.95E-09,1.00E+00,1
UGC4936,sw,NW,2.82E-02,6.78E-02,0
UGC5,se,SE,7.36E-16,1.00E+00,1
UGC5358,se,S,3.26E-03,1.00E+00,1
UGC5786,ne,E,4.58E-10,8.86E-07,1
UGC6537,se,E,4.27E-62,2.64E-02,1
UGC6628,e,N,5.14E-05,8.40E-04,0
UGC6903,ne,NE,2.64E-21,1.82E-07,1
UGC6918,se,W,6.67E-11,5.47E-01,-1
UGC7012,sw,W,8.43E-06,9.81E-01,1
UGC7154,s,S,2.74E-08,6.07E-06,1
UGC7244,sw,S,6.58E-02,5.65E-01,1
UGC7917,se,NW,3.82E-07,4.28E-03,-1
UGC807,se,SE,4.43E-02,1.51E-01,1
UGC8196,n,SW,1.19E-05,1.00E+00,-1
UGC8516,se,SE,1.84E-04,3.87E-02,1
UGC8733,se,E,5.14E-06,2.55E-01,1
UGC8781,sw,W,1.61E-03,3.59E-01,1
UGC9067,nw,W,1.22E-07,2.22E-01,1
UGC9177,se,N,1.74E-01,2.42E-01,-1
UGC9476,sw,SW,1.71E-11,3.07E-01,1
UGC9837,ne,NE,1.56E-01,4.09E-01,1
UGC9965,se,W,1.37E-03,3.54E-01,-1
